name,full_name,date,participants,url,description
5G-STARDUST,5G-STARDUST,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#5G-STARDUST,"The 7 projects under this stream (,6Green,ACROSS,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered include"
6Green,6Green,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#6Green,"The 7 projects under this stream (5G-STARDUST,,ACROSS,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
ACROSS,ACROSS,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#ACROSS,"The 7 projects under this stream (5G-STARDUST,6Green,,BeGREEN,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
BeGREEN,BeGREEN,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#BeGREEN,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,,NANCY,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered inc"
NANCY,NANCY,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#NANCY,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,,SEASON,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered i"
SEASON,SEASON,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#SEASON,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,NANCY,,VERGE) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered in"
VERGE,VERGE,2023,,https://smart-networks.europa.eu/stream-a-smart-communication-components-systems-and-networks-for-5g-mid-term-evolution-systems/#VERGE,"The 7 projects under this stream (5G-STARDUST,6Green,ACROSS,BeGREEN,NANCY,SEASON,) follow an evolutionary path towards the development of 6G networks. The selected projects demonstrate complementarity and have been selected in such a way as to create a complete system view. Research topics covered i"
6G-NTN,6G-NTN,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-NTN,
6G-SHINE,6G-SHINE,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6G-SHINE,
6GTandem,6GTandem,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#6GTandem,
ADROIT6G,ADROIT6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ADROIT6G,
CENTRIC,CENTRIC,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CENTRIC,
CONFIDENTIAL6G,CONFIDENTIAL6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#CONFIDENTIAL6G,
DETERMINISTIC6G,DETERMINISTIC6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DETERMINISTIC6G,
DESIRE6G,DESIRE6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#DESIRE6G,
ETHER,ETHER,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#ETHER,
FLEX-SCALE,FLEX-SCALE,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#FLEX-SCALE,
Hexa-X-II,Hexa-X-II,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HEXA,
HORSE,HORSE,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#HORSE,
PREDICT-6G,PREDICT-6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PREDICT-6G,
PRIVATEER,PRIVATEER,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#PRIVATEER,
RIGOUROUS,RIGOUROUS,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#RIGOUROUS,
SUPERIOT,SUPERIOT,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#SUPERIOT,
TERA6G,TERA6G,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERA6G,
TERRAMETA,TERRAMETA,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TERRAMETA,
TIMES,TIMES,2023,,https://smart-networks.europa.eu/stream-b-research-for-revolutionary-technology-advancement-towards-6g/#TIMES,
6G-BRICKS,6G-BRICKS,2023,,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-BRICKS,"The 3 projects in stream C (,6G-SANDBOX,6G-XR) aim at developing EU-wide experimentation platforms that can incorporate promising technical 6G enablers for their further validation. Key aspects for the projects are the reusability and ability to evolve of the experimental platforms over the lifetime"
6G-SANDBOX,6G-SANDBOX,2023,,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-SANDBOX,"The 3 projects in stream C (6G-BRICKS,,6G-XR) aim at developing EU-wide experimentation platforms that can incorporate promising technical 6G enablers for their further validation. Key aspects for the projects are the reusability and ability to evolve of the experimental platforms over the lifetime "
6G-XR,6G-XR,2023,,https://smart-networks.europa.eu/stream-c-sns-experimental-infrastructures/#6G-XR,"The 3 projects in stream C (6G-BRICKS,6G-SANDBOX,) aim at developing EU-wide experimentation platforms that can incorporate promising technical 6G enablers for their further validation. Key aspects for the projects are the reusability and ability to evolve of the experimental platforms over the life"
FIDAL,FIDAL,2023,,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#FIDAL,"4 projects (,IMAGINE-B5G,TARGET-X,TrialsNet) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construct"
IMAGINE-B5G,IMAGINE-B5G,2023,,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#IMAGINE-B5G,"4 projects (FIDAL,,TARGET-X,TrialsNet) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construction, a"
TARGET-X,TARGET-X,2023,,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TARGET-X,"4 projects (FIDAL,IMAGINE-B5G,,TrialsNet) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construction"
TrialsNet,TrialsNet,2023,,https://smart-networks.europa.eu/stream-d-large-scale-sns-trials-and-pilots/#TrialsNet,"4 projects (FIDAL,IMAGINE-B5G,TARGET-X,) are implementing large-scale SNS trials and pilots with specific verticals of high economic and societal importance. The aim is to explore and demonstrate 5G/6G technologies, advanced applications and services in vertical sectors such as energy, construction,"
